table_number,table_name,data_group,source_study,airflow_normal_m3_s,z_m,b_midpoint_m,U_midpoint_m_s,q_m3_s,W,alpha,value_basis,source
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.024,9.23,0.86,0.817,0.0047,0.29,0.06,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.024,21.05,1.77,0.492,0.0062,0.183,0.037,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.024,31.71,2.22,0.52,0.0085,0.244,0.056,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.024,40.86,2.68,0.557,0.0126,0.122,0.067,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.024,45.43,3.04,0.535,0.0165,0.061,0.063,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.118,9.23,0.99,1.203,0.0234,0.29,0.072,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.118,21.05,2.1,0.843,0.0304,0.183,0.076,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.118,31.71,3.05,0.831,0.0419,0.244,0.096,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.118,40.86,4.0,0.79,0.0618,0.122,0.085,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.283,9.23,1.34,1.425,0.056,0.29,0.108,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.283,21.05,2.97,1.04,0.073,0.183,0.111,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.283,31.71,4.47,0.938,0.1004,0.244,0.133,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.283,40.86,5.88,0.883,0.1483,0.122,0.144,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.283,45.43,6.67,0.842,0.1946,0.061,0.135,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.59,9.23,1.45,1.71,0.1168,0.29,0.108,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.59,21.05,3.05,1.252,0.1521,0.183,0.106,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.59,31.71,4.46,1.186,0.2094,0.244,0.137,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.59,40.86,5.82,1.173,0.3091,0.122,0.163,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Bugg Spring experiment data,0.59,45.43,6.64,1.146,0.4056,0.061,0.165,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.005,1.45,0.2,0.868,0.0027,0.162,0.092,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.005,3.05,0.38,0.684,0.003,0.162,0.084,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.005,4.65,0.54,0.594,0.0033,0.162,0.078,midpoint averages between measurement heights,"Milgram (1983), Table 2"
