table_number,table_name,data_group,source_study,airflow_normal_m3_s,z_m,b_midpoint_m,U_midpoint_m_s,q_m3_s,W,alpha,value_basis,source
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.0004,0.86,0.09,0.386,0.0003,0.064,0.074,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.0004,1.25,0.12,0.381,0.0003,0.111,0.057,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.0004,1.86,0.15,0.372,0.0003,0.162,0.048,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.0004,2.51,0.18,0.368,0.0003,0.122,0.06,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.0004,3.0,0.21,0.371,0.0004,0.098,0.067,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.0004,3.49,0.24,0.372,0.0004,0.12,0.059,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.0004,3.9,0.27,0.366,0.0004,0.064,0.04,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.00057,0.86,0.1,0.531,0.0004,0.064,0.077,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.00057,1.25,0.13,0.521,0.0004,0.111,0.063,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.00057,1.86,0.17,0.486,0.0004,0.162,0.05,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.00057,2.51,0.21,0.465,0.0005,0.122,0.06,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.00057,3.0,0.23,0.475,0.0005,0.098,0.071,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.00057,3.49,0.27,0.481,0.0005,0.12,0.065,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Kobus data,0.00057,3.95,0.3,0.452,0.0005,0.087,0.035,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.367,9.5,2.37,1.307,0.061,0.15,0.17,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.367,18.5,3.76,1.321,0.0716,0.15,0.135,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.367,27.5,4.94,1.204,0.0867,0.15,0.081,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.367,37.0,5.52,1.202,0.1117,0.167,0.046,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.367,45.0,5.33,1.428,0.1473,0.1,0.01,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.443,10.0,1.8,1.478,0.0742,0.167,0.056,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.443,19.5,2.47,1.352,0.0881,0.15,0.058,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.443,29.0,3.5,1.033,0.1085,0.167,0.069,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.443,38.35,4.73,0.973,0.1405,0.145,0.195,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.66,6.05,1.36,1.364,0.1165,0.058,0.151,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.66,12.3,2.23,1.535,0.1308,0.177,0.158,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.66,21.5,3.71,1.343,0.1598,0.17,0.096,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.66,29.0,4.87,0.996,0.1949,0.113,0.037,midpoint averages between measurement heights,"Milgram (1983), Table 4"
4,Secondary midpoint entrainment coefficients and plume properties,secondary,Topham data,0.66,37.0,5.53,1.049,0.2548,0.189,0.14,midpoint averages between measurement heights,"Milgram (1983), Table 4"
