paper_id,paper_short_name,source_table,table_title,data_group,source_study,airflow_normal_m3_s,z_m,b_m,U_m_s,q_m3_s,gamma,alpha,W,value_basis,source,doi,notes
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.024,1.98,0.15,1.127,0.0042,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.024,16.47,1.572,0.506,0.0055,1.24,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.024,25.82,1.967,0.477,0.007,1.5,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.024,37.81,2.466,0.562,0.0109,1.16,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.024,43.9,2.895,0.553,0.0149,1.15,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.024,46.95,3.191,0.516,0.0184,1.26,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.118,1.98,0.257,1.542,0.0204,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.118,16.47,1.732,0.863,0.0272,1.23,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.118,25.62,2.476,0.823,0.0345,1.14,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.118,37.81,3.621,0.838,0.0534,0.91,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.118,43.9,4.384,0.743,0.0735,1.07,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.283,1.98,0.328,1.74,0.049,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.283,16.47,2.359,1.109,0.0653,0.85,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.283,25.62,3.583,0.971,0.0827,0.83,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.283,37.81,5.365,0.906,0.128,0.77,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.283,43.9,6.393,0.861,0.1762,0.81,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
